name,num_years,year,industry,sector,country,headquarters_state,headquarters_city,market_value_mil,market_value_currency,revenue_mil,revenue_currency,profit_mil,profit_currency,asset_mil,asset_currency,employees,employees_metric
"Motorola, Inc.",15,2010,Network and Other Communications Equipment,,USA,IL,Schaumburg,,USD,22063.0,USD,,USD,,USD,,employees
"Motorola, Inc.",15,2009,Network and Other Communications Equipment,,USA,IL,Schaumburg,,USD,30146.0,USD,,USD,,USD,,employees
"Motorola, Inc.",15,2008,Network and Other Communications Equipment,,USA,IL,Schaumburg,,USD,36622.0,USD,,USD,,USD,,employees
Murphy Oil Corporation,14,2014,"Mining, Crude-Oil Production",,USA,AR,,11279.0,USD,5390.0,USD,1124.0,USD,17510.0,USD,,employees
Murphy Oil Corporation,14,2013,Petroleum Refining,,USA,AR,,1215.12,USD,2877.64,USD,970.9,USD,1752.26,USD,,employees
Murphy Oil Corporation,14,2012,Petroleum Refining,,USA,AR,El Dorado,,USD,31446.3,USD,,USD,,USD,,employees
Mutual of Omaha Insurance Companies,14,2011,"Insurance: Life, Health (Mutual)",,USA,NE,Omaha,,USD,5724.2,USD,,USD,,USD,,employees
Mutual of Omaha Insurance Companies,14,2010,"Insurance: Life, Health (Mutual)",,USA,NE,Omaha,,USD,5149.6,USD,,USD,,USD,,employees
Mutual of Omaha Insurance Companies,14,2007,"Insurance: Life, Health (Mutual)",,USA,NE,Omaha,,USD,4497.6,USD,,USD,,USD,,employees
NCR,9,2023,"Computers, Office Equipment",Technology,USA,GA,Atlanta,3304.0,USD,7844.0,USD,60.0,USD,11507.0,USD,35000.0,employees
NCR,9,2022,"Computers, Office Equipment",Technology,USA,GA,Atlanta,5475.0,USD,7156.0,USD,97.0,USD,11641.0,USD,38000.0,employees
NCR,9,2021,"Computers, Office Equipment",Technology,USA,GA,Atlanta,4943.0,USD,6207.0,USD,79.0,USD,8414.0,USD,36000.0,employees
NCR Corporation,17,2014,"Computers, Office Equipment",,USA,GA,,6092.0,USD,6123.0,USD,443.0,USD,8108.0,USD,,employees
NCR Corporation,17,2013,"Computers, Office Equipment",,USA,GA,,451.16,USD,57.92,USD,146.0,USD,63.71,USD,,employees
NCR Corporation,17,2012,"Computers, Office Equipment",,USA,GA,Duluth,,USD,5443.0,USD,,USD,,USD,,employees
Nash Finch Company,10,2005,Wholesalers: Food and Grocery,,USA,MN,,,USD,3897.1,USD,,USD,,USD,,employees
Nash Finch Company,10,2004,Wholesalers: Food and Grocery,,USA,MN,,,USD,3971.5,USD,,USD,,USD,,employees
Nash Finch Company,10,2003,Wholesalers: Food and Grocery,,USA,MN,,,USD,3900.0,USD,,USD,,USD,,employees
National City Corporation,13,2008,Commercial Banks,,USA,OH,Cleveland,,USD,11791.3,USD,,USD,,USD,,employees
National City Corporation,13,2007,Commercial Banks,,USA,OH,Cleveland,,USD,12952.7,USD,,USD,,USD,,employees
National City Corporation,13,2006,Commercial Banks,,USA,OH,,,USD,11036.1,USD,,USD,,USD,,employees
Nationwide,9,2023,Insurance: Property and Casualty (Mutual),Financials,USA,OH,Columbus,,USD,51450.0,USD,988.0,USD,264511.0,USD,24791.0,employees
Nationwide,9,2022,Insurance: Property and Casualty (Mutual),Financials,USA,OH,Columbus,,USD,47376.0,USD,1617.0,USD,278412.0,USD,24134.0,employees
Nationwide,9,2021,Insurance: Property and Casualty (Mutual),Financials,USA,OH,Columbus,,USD,41930.0,USD,138.0,USD,256589.0,USD,25391.0,employees
Nationwide Mutual Insurance Co.,13,2014,Insurance: Property and Casualty (Mutual),,USA,OH,,,USD,34542.0,USD,797.0,USD,171234.0,USD,,employees
Nationwide Mutual Insurance Co.,13,2013,Insurance: Property and Casualty (Mutual),,USA,OH,,,USD,30356.3,USD,748.5,USD,153543.2,USD,,employees
Nationwide Mutual Insurance Co.,13,2012,Insurance: Property and Casualty (Mutual),,USA,OH,Columbus,,USD,30697.8,USD,,USD,,USD,,employees
